team,season,WAR,Enter,CG,SHO,G,W,L,SV,HLD,IP,R,ER,TBF,H,2B,3B,HR,BB,IBB,HBP,SO,BK,WP,ERA,FIP,WHIP,ERA+,FIP+,WAR,WPA,AVG,BSV,NP,QS,SAC,SF,WPCT
Samsung,4,27.09,557,4,2,133,73,52,42,74,1196.1,564,500,5138,1092,,,118,505,17,85,994,6,43,3.76,4.01,1.34,115.4,108.3,27.09,,0.247,0,20237,52,87,34,0.584
SK,4,19.01,531,3,1,134,61,64,29,49,1191,645,581,5240,1177,,,116,545,18,110,894,8,57,4.39,4.32,1.45,95.8,97.4,19.01,,0.263,0,20469,39,79,25,0.488
Doosan,3,19.11,591,7,2,133,57,74,30,53,1175.2,619,555,5144,1194,,,105,464,22,79,654,3,37,4.25,4.14,1.41,97.9,100.5,19.11,,0.268,0,19144,52,105,43,0.435
Hanhwa,3,22.43,502,4,2,133,63,65,35,31,1192,617,580,5165,1184,,,142,437,14,68,772,9,53,4.38,4.25,1.36,99.1,102.2,22.43,,0.261,0,19888,54,82,45,0.492
Hyundai,3,23.78,504,2,1,133,80,51,39,43,1190,627,550,5197,1245,,,120,457,6,62,840,2,56,4.16,3.95,1.43,103.9,109.3,23.78,,0.273,0,20181,58,92,33,0.611
KIA,3,25.71,463,12,3,133,78,50,36,34,1178,527,478,4999,1092,,,137,414,12,101,820,1,42,3.65,4.16,1.28,117.3,102.9,25.71,,0.25,0,19162,65,88,30,0.609
LG,3,21.01,588,2,1,133,60,71,37,51,1169.2,579,521,5166,1201,,,120,531,27,60,794,2,49,4.01,4.18,1.48,103.6,99.3,21.01,,0.271,0,20403,48,116,34,0.458
Lotte,3,10.44,616,3,0,133,39,91,22,58,1164.1,709,648,5173,1302,,,171,435,16,93,647,3,36,5.01,4.88,1.49,84.5,86.8,10.44,,0.289,0,19413,44,93,40,0.3
Samsung,3,22.77,529,2,1,133,76,53,30,41,1183,613,574,5150,1199,,,133,494,15,59,808,3,46,4.37,4.22,1.43,99.9,103.4,22.77,,0.268,0,19834,45,95,29,0.589
SK,3,17.27,530,3,3,133,66,64,43,48,1181.1,642,583,5158,1190,,,135,497,19,83,759,2,42,4.44,4.39,1.43,93.9,95.1,17.27,,0.267,0,19830,44,84,32,0.508
Doosan,2,24.76,515,3,2,133,66,65,38,43,1183,562,517,5087,1139,,,99,479,30,60,954,2,44,3.93,3.77,1.37,104.7,109.3,24.76,,0.257,0,19237,60,77,33,0.504
Hanhwa,2,20.39,521,8,1,133,59,69,32,32,1184.2,672,631,5198,1254,,,146,392,29,102,953,4,42,4.79,4.17,1.39,90.7,104.2,20.39,,0.272,0,20061,54,62,38,0.461
